"SYMBOL","GSM93789.CEL.gz","GSM93920.CEL.gz","GSM93921.CEL.gz","GSM93922.CEL.gz","GSM93923.CEL.gz","GSM93924.CEL.gz","GSM93925.CEL.gz","GSM93926.CEL.gz","GSM93927.CEL.gz","GSM93928.CEL.gz","GSM93929.CEL.gz","GSM93932.CEL.gz","GSM93938.CEL.gz","GSM93939.CEL.gz","GSM93941.CEL.gz","GSM93943.CEL.gz","GSM93944.CEL.gz","GSM93946.CEL.gz","GSM93948.CEL.gz","GSM93950.CEL.gz","GSM93952.CEL.gz","GSM93954.CEL.gz"
"ABCC11",3.28208376709537,2.86282028732972,2.94314089965674,2.72192695728361,2.83199373587212,2.61466156975027,2.76221841283588,2.8791616753031,2.66429829727011,2.73073827232302,2.80222226269975,2.85715396654176,2.84421764111435,2.83738478434831,2.97645321805973,2.76764659113038,2.79620039347656,2.835566801544,2.90079072734679,2.75480554840374,2.68558313022868,2.76832056253804
"ABCC12",2.42043579590042,2.40275030473793,2.26301854878046,2.25793811509094,2.40905877552223,2.27295417895342,2.29178773531634,2.33293276066005,2.26637892999463,2.24114938098205,2.4542386787542,2.40158883820365,2.23920705886244,2.40034051888095,2.23237120854695,2.42805531398833,2.32810203676109,2.44106399475443,2.27591995906868,2.35800097295528,2.48968517883432,2.29751791945773
"ABCC13",2.97185327205105,3.11262784462,4.19159137607109,3.22907164055973,3.75686807561353,3.17522757275838,2.84533946648207,3.42452444647023,3.67566065583716,3.36310390158501,3.87485694639829,3.67901207166552,3.72613816139621,4.59562120782726,4.28907507173886,3.4253712520791,3.3822840321267,3.55057103749677,4.14531955186745,3.58937383787305,4.74380330199353,3.7003162937391
"ABCC2",2.71732066911688,3.19627585763859,2.61296807120656,2.80923326436162,2.73297110788752,2.58367189523713,2.86271037418234,2.73351655253215,2.56200595473541,2.79141884415921,2.9837626233635,2.93671081658118,2.82990693476873,2.43846967135614,2.26662448135767,2.63795634665229,2.95034938088544,2.69585135742134,2.92573012816691,2.99337094417263,2.71726609309391,2.60465064344654
"ABCC3",5.30157708099706,6.48116383913158,6.99062863428331,6.61316863705637,6.48339418453824,6.59692897418699,4.45677000350078,6.05985488015039,6.66915078913219,7.27541635200299,6.90129461828366,7.221153888472,6.80584921411092,7.64301319585344,6.86186065519591,6.87435020526397,7.18614192790833,7.04938744554359,7.25500189335886,6.96238233930096,6.86948375029335,6.50525211736634
"ABCC4",2.90556771234845,3.38914890924824,2.82189461177997,2.89681686410854,2.98000983508967,2.91395777620449,3.12208958062601,2.96548017986068,2.95494080447859,3.16208628103476,2.98933252515519,2.94659259077088,3.53266406800191,2.8749765063195,3.26029756955851,3.69621169813496,3.0584743195362,3.30554805855553,2.9862452791996,3.33302454111286,2.88447722784253,3.21964630478642
"ABCC5",3.80624308817051,4.15754215733098,4.42217535981134,4.21025685182343,4.79916589705571,4.4661275440137,4.13990448579408,4.05203486985038,4.70030235254099,4.18759960935395,4.17189923296843,4.54557909412103,4.40853535882292,5.19736396684532,4.45189003645638,4.90492321643331,4.36936302185396,3.94780387745548,4.50789161639121,4.42406614441492,4.34683087949713,4.59501506794261
"ABCC6",3.62703464966058,4.90793223232894,4.68981557119742,4.08119193393267,4.22623673396084,3.72646405326997,3.39642992402826,3.85097230547777,4.24768398233044,4.78526926110076,4.59712341769541,4.17613504477922,4.78891216163927,4.85241054036529,4.63878345519694,4.64993755776713,4.99967831385765,4.89977325994692,4.92915409527143,4.85463408931312,4.76581403839503,4.83073746057044
"ABCC6P1",3.83842511776243,5.3482583749081,5.13325850771948,4.24270472762274,4.61264186445531,4.2336690381237,3.97689363110701,4.04609721549847,4.73233056135316,5.10151556513598,4.81400963492791,4.68521716727028,5.17044786149859,5.32483483475953,5.48905720615787,5.14451138460981,5.38594179769602,5.45449461824449,5.33692823795517,5.30396994018415,5.60585012541273,5.22426905648897
"ABCC6P2",4.55418352545411,6.91422308880467,6.49669215106215,4.80086215081124,5.97496547975379,4.92925117563465,4.58490571670104,4.67853385033113,5.58921057297428,6.66484041257951,5.90834041882396,5.35181361183604,6.86949679454146,5.91284638077344,6.54010989835842,6.70847952020879,6.98305074656135,7.32702260164294,7.0099698282371,6.82207365138076,6.74637439377644,6.8051048621426
