"Gene","GS","GS_p","MM","MM_p"
"MPPE1",-0.62121299927707,3.28848831032493e-43,-0.771468015374143,1.37315901139714e-78
"EIF2S2",0.618127843937961,1.10863370859763e-42,0.847650376969704,2.10092006720172e-109
"ADNP",0.651002929318481,1.26511469042738e-48,0.852745942812341,4.70010316263156e-112
"PPP1R35",0.605624569097732,1.33363085167809e-40,0.781198748675617,8.15246207255117e-82
"PFDN4",0.57550739403901,5.96391610835094e-36,0.774179067798214,1.79916753892578e-79
"LRP11",0.566196696976159,1.31214126940249e-34,0.710121285363587,2.11907396563945e-61
"GNL3L",0.598763173040279,1.69033966181813e-39,0.782725784207001,2.45417642909978e-82
"CNPY3",0.635893105527531,8.37479203630103e-46,0.731196178571013,9.09017952189985e-67
"LINC03040",0.577165725653442,3.40332640787404e-36,0.712358170585843,6.01810000773688e-62
"TAF4",0.498122758462904,5.67223566996069e-26,0.744842086283151,1.59730858584502e-70
"FBXO41",0.585883294540048,1.69063064956011e-37,0.741803255452709,1.14858339391152e-69
"MED11",-0.552475157264377,1.04829310735322e-32,-0.736810034129812,2.76736940762917e-68
"SLC39A10",0.626111453613204,4.64309643016827e-44,0.718509165029543,1.77340056455004e-63
"ASXL1",0.608120182583469,5.21428646821662e-41,0.861334092588865,9.34133597964377e-117
"KAT2B",-0.601215829253867,6.86722880071876e-40,-0.774496374518423,1.41566259950536e-79
"DLGAP4",0.624905412159293,7.54283983632196e-44,0.806054530473359,7.23130705875767e-91
"KLB",-0.629337690926895,1.25467378191565e-44,-0.700602045468549,3.94061289173067e-59
"MORC2",0.634208180101306,1.68979186426897e-45,0.756700150482818,5.49643149359483e-74
"MIDEAS",-0.64101189473525,9.66245991067903e-47,-0.764098797421798,2.995988616805e-76
"METTL26",0.678735899136093,3.03971902728555e-54,0.840442288541982,8.12760358515834e-106
"PLOD3",0.548850346515931,3.22484530709459e-32,0.726317031515363,1.76132797481721e-65
"TPD52L2",0.569204764327787,4.88571842851385e-35,0.77324899877985,3.62460563103558e-79
"STX12",-0.662202203920736,8.03824551199712e-51,-0.814733979116221,2.41690424266922e-94
"RP9",0.623893370137977,1.13150020940133e-43,0.772663313260548,5.62434642300187e-79
"POLR3E",0.59766860996914,2.52039413785171e-39,0.795500735396056,7.17677274834229e-87
"STX16",0.473635528596829,2.5934736988315e-23,0.717895487430421,2.53135493592334e-63
"FAM114A1",-0.530263173984857,8.31560078199198e-30,-0.73728458937348,2.0515850408871e-68
"RP9P",0.629583710808194,1.13480501984248e-44,0.778134240899242,8.81144715358096e-81
